year,revenue_million
1991,102.0000
1992,661.0000
1993,1084.0000
1994,1228.0000
1995,1504.0000
1996,1178.0000
1997,1948.0000
1998,2246.0000
1999,2873.0000
2000,3784.0000
2001,4455.0000
2002,4574.0000
2003,6380.0000
2004,7667.0000
2005,10559.0000
2006,17918.0000
2007,35527.0000
2008,40992.0000
2009,48881.0000
2010,50714.0000
2011,71783.0000
2012,103116.0000
2013,135419.0000
2014,146388.0000
2015,195549.0000
2016,240477.0000
2017,242897.0000
2018,297679.0000
2019,367894.0000
2020,419112.0000
2021,452798.0000
2022,503838.0000
2023,465739.0000
2024,343176.0000
2025,233433.0000
